,Feature,Score,Model_name,rmse_val,r2_score,mse,mae,f1,precision,recall
33,budget_new,"[0.4051734120189304, 0.41884350107493207]",Ridge Regression,0.7790769934848418,0.41884350107493207,0.6069609617773802,0.5111541149302224,na,na,na
34,lease_span_avg_week,"[0.40517341201889345, 0.4188435002132569]",Ridge Regression,0.7790769940624067,0.4188435002132569,0.6069609626773154,0.5111541190467336,na,na,na
35,Agent_id_encoded,"[0.4074294959084148, 0.41982121329974653]",Ridge Regression,0.778421375127337,0.41982121329974653,0.6059398372551343,0.5101741297597284,na,na,na
36,lost_reason_encoded,"[0.4051734120266358, 0.4188435650971136]",Ridge Regression,0.7790769505719515,0.4188435650971136,0.606960894912491,0.5111545859677997,na,na,na
37,source_encoded,"[0.4051734120189241, 0.41884350052851405]",Ridge Regression,0.7790769938510957,0.41884350052851405,0.6069609623480603,0.5111541161684421,na,na,na
38,source_city_encoded,"[0.4051734521892131, 0.4188388711636256]",Ridge Regression,0.77908009682293,0.4188388711636256,0.6069657972656259,0.5111552087919937,na,na,na
39,des_city_encoded,"[0.4052230968349806, 0.4188317885936115]",Ridge Regression,0.7790848441057807,0.4188317885936115,0.6069731943153287,0.5109407529993507,na,na,na
40,des_country_encoded,"[0.4076908685355656, 0.42166709954147086]",Ridge Regression,0.7771820829927857,0.42166709954147086,0.6040119901250052,0.5061395044053817,na,na,na
41,room_type_encoded,"[0.40587016001690224, 0.41988857604274343]",Ridge Regression,0.778376183780817,0.41988857604274343,0.6058694834771882,0.5099849142359659,na,na,na
42,budget_new,"[0.3974669579518626, 0.40742439047875734]",ElasticNet Regression,0.7866937795475711,0.40742439047875734,0.6188871027788424,0.48905863933399185,na,na,na
43,lease_span_avg_week,"[0.3974669579518626, 0.40742439047875734]",ElasticNet Regression,0.7866937795475711,0.40742439047875734,0.6188871027788424,0.48905863933399185,na,na,na
44,Agent_id_encoded,"[0.3974669579518626, 0.40742439047875734]",ElasticNet Regression,0.7866937795475711,0.40742439047875734,0.6188871027788424,0.48905863933399185,na,na,na
45,lost_reason_encoded,"[0.3994009404556619, 0.40988402188623296]",ElasticNet Regression,0.78505939840296,0.40988402188623296,0.6163182590208175,0.4927286366933827,na,na,na
46,source_encoded,"[0.3974669579518626, 0.40742439047875734]",ElasticNet Regression,0.7866937795475711,0.40742439047875734,0.6188871027788424,0.48905863933399185,na,na,na
47,source_city_encoded,"[0.3974669579518626, 0.40742439047875734]",ElasticNet Regression,0.7866937795475711,0.40742439047875734,0.6188871027788424,0.48905863933399185,na,na,na
48,des_city_encoded,"[0.3974669579518626, 0.40742439047875734]",ElasticNet Regression,0.7866937795475711,0.40742439047875734,0.6188871027788424,0.48905863933399185,na,na,na
49,des_country_encoded,"[0.3974669579518626, 0.40742439047875734]",ElasticNet Regression,0.7866937795475711,0.40742439047875734,0.6188871027788424,0.48905863933399185,na,na,na
50,room_type_encoded,"[0.3974669579518626, 0.40742439047875734]",ElasticNet Regression,0.7866937795475711,0.40742439047875734,0.6188871027788424,0.48905863933399185,na,na,na
51,budget_new,"[1.0, 1.0]",DecisionTree Regression,2.7040964960213236e-14,1.0,7.3121378597948e-28,2.7022321803833687e-14,na,na,na
52,lease_span_avg_week,"[1.0, 1.0]",DecisionTree Regression,2.7040964960213236e-14,1.0,7.3121378597948e-28,2.7022321803833687e-14,na,na,na
53,Agent_id_encoded,"[1.0, 1.0]",DecisionTree Regression,2.7040964960213236e-14,1.0,7.3121378597948e-28,2.7022321803833687e-14,na,na,na
54,lost_reason_encoded,"[1.0, 1.0]",DecisionTree Regression,2.7040964960213236e-14,1.0,7.3121378597948e-28,2.7022321803833687e-14,na,na,na
55,source_encoded,"[1.0, 1.0]",DecisionTree Regression,2.7040964960213236e-14,1.0,7.3121378597948e-28,2.7022321803833687e-14,na,na,na
56,source_city_encoded,"[1.0, 1.0]",DecisionTree Regression,2.7040964960213236e-14,1.0,7.3121378597948e-28,2.7022321803833687e-14,na,na,na
57,des_city_encoded,"[1.0, 1.0]",DecisionTree Regression,2.7040964960213236e-14,1.0,7.3121378597948e-28,2.7022321803833687e-14,na,na,na
58,des_country_encoded,"[1.0, 1.0]",DecisionTree Regression,2.7040964960213236e-14,1.0,7.3121378597948e-28,2.7022321803833687e-14,na,na,na
59,room_type_encoded,"[1.0, 1.0]",DecisionTree Regression,2.7040964960213236e-14,1.0,7.3121378597948e-28,2.7022321803833687e-14,na,na,na
60,budget_new,"[1.0, 1.0]",DecisionTree Classification,0.0,1.0,0.0,0.0,1.0,1.0,1.0
61,lease_span_avg_week,"[1.0, 1.0]",DecisionTree Classification,0.0,1.0,0.0,0.0,1.0,1.0,1.0
62,Agent_id_encoded,"[1.0, 1.0]",DecisionTree Classification,0.0,1.0,0.0,0.0,1.0,1.0,1.0
63,lost_reason_encoded,"[1.0, 1.0]",DecisionTree Classification,0.0,1.0,0.0,0.0,1.0,1.0,1.0
64,source_encoded,"[1.0, 1.0]",DecisionTree Classification,0.0,1.0,0.0,0.0,1.0,1.0,1.0
65,source_city_encoded,"[1.0, 1.0]",DecisionTree Classification,0.0,1.0,0.0,0.0,1.0,1.0,1.0
66,des_city_encoded,"[1.0, 1.0]",DecisionTree Classification,0.0,1.0,0.0,0.0,1.0,1.0,1.0
67,des_country_encoded,"[1.0, 1.0]",DecisionTree Classification,0.0,1.0,0.0,0.0,1.0,1.0,1.0
68,room_type_encoded,"[1.0, 1.0]",DecisionTree Classification,0.0,1.0,0.0,0.0,1.0,1.0,1.0
69,budget_new,"[1.0, 1.0]", RandomForest Regression,2.381864148711353e-14,1.0,5.673276822916458e-28,2.367648051318949e-14,na,na,na
70,lease_span_avg_week,"[1.0, 1.0]", RandomForest Regression,2.3861733389784506e-14,1.0,5.693823203651567e-28,2.374451924305894e-14,na,na,na
71,Agent_id_encoded,"[1.0, 1.0]", RandomForest Regression,2.377801306420035e-14,1.0,5.653939052812825e-28,2.3608441783320037e-14,na,na,na
72,lost_reason_encoded,"[1.0, 1.0]", RandomForest Regression,2.3798018534188317e-14,1.0,5.6634568615357065e-28,2.3642461148254763e-14,na,na,na
73,source_encoded,"[1.0, 1.0]", RandomForest Regression,2.381864148711353e-14,1.0,5.673276822916458e-28,2.367648051318949e-14,na,na,na
74,source_city_encoded,"[1.0, 1.0]", RandomForest Regression,2.3884199008980657e-14,1.0,5.704549623005926e-28,2.3778538607993665e-14,na,na,na
75,des_city_encoded,"[1.0, 1.0]", RandomForest Regression,2.381864148711353e-14,1.0,5.673276822916458e-28,2.367648051318949e-14,na,na,na
76,des_country_encoded,"[1.0, 1.0]", RandomForest Regression,2.3809266817499687e-14,1.0,5.668811863868917e-28,2.3693260512444522e-14,na,na,na
77,room_type_encoded,"[1.0, 1.0]", RandomForest Regression,2.3798018534188317e-14,1.0,5.6634568615357065e-28,2.3642461148254763e-14,na,na,na
78,budget_new,"[0.9269318469723841, 0.9233952003782953]",RandomForest Classification,0.27677572079520396,-0.082959928306235,0.07660479962170469,0.07660479962170469,0.0,0.0,0.0
79,lease_span_avg_week,"[0.9269318469723841, 0.9233952003782953]",RandomForest Classification,0.27677572079520396,-0.082959928306235,0.07660479962170469,0.07660479962170469,0.0,0.0,0.0
80,Agent_id_encoded,"[0.9269318469723841, 0.9233952003782953]",RandomForest Classification,0.27677572079520396,-0.082959928306235,0.07660479962170469,0.07660479962170469,0.0,0.0,0.0
